ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore watches, no need to hurry."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'm going to be honest with you i've missed you all day"
ham,"Even my brother is not like to speak with me. They treat me always as if I always tell lies."
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune"
spam,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
ham,"Had your mobile 11 months or more? U R entitled to Update to the latest camera mobile for Free! Call The Mobile Update Co FREE on 08002986030"
